地段名,地段碼
橋南段,2039
路東段,2040
五軍營段,2041
太康段,2042
果毅後段,2043
新厝段,2044
大腿段,2045
小腿段,2046
山子段,2047
柳營段柳營小段,2048
柳營段溫厝小段,2049
八老爺段八老爺小段,2050
八老爺段半路店小段,2051
旭山段,2057
八翁段,2058
東昇段,2063
柳中段,2064
柳南段,2065
士林段,2066
人和段,2073
雙和段,2080
平和段,2081
新厝段北安小段,2082
大山段,2083
代天段,2105
義士段,2121
綠隧段,2127
重溪段,2128
篤農段,2129
德元段,2132
外環段,2139
東安段,2148
光福段,2151
新營段,2001
王公廟段,2002
茄苳段,2003
下角帶圍段,2004
許丑段,2005
埤寮段,2006
後鎮段,2007
土庫段,2008
卯舍段,2009
鐵線橋段,2010
姑爺段,2012
舊段,2013
太子宮段太子宮小段,2014
太子宮段埤子底小段,2015
太子宮段竹圍子小段,2016
嘉芳段,2052
茄苳段,2054
南紙段,2055
太子段,2056
新東段,2079
建國段,2084
長榮段,2085
三德段,2086
王公段,2087
新生段,2088
忠政段,2089
新泰段,2091
延平段,2092
濟安段,2093
真武段,2094
南興段,2095
復興段,2096
新富段,2097
新榮段,2098
華城段,2099
新電段,2100
新興段,2101
北紙段,2102
武賢段,2103
三民段,2104
大公段,2106
民生段,2107
東興段,2108
東學段,2109
大同段,2110
綠川段,2111
民族段,2112
三興段,2113
民權段,2114
永生段,2115
興安段,2116
興業段,2117
民治段,2118
南新段,2119
育德段,2120
土安段,2122
新民段,2123
新北段,2124
新橋段,2125
德隆段,2126
新卯舍段,2133
新秀才段,2137
長勝段,2141
新茄苳段,2142
新南段,2144
金華段,2145
周武段,2146
秦漢段,2149
東站段,2150
茄安段,2152
隋唐段,2153
鹽水段,2017
番子厝段,2019
田寮段,2020
飯店段,2021
南竹子段,2022
天保厝段,2023
頭港段,2024
北竹子段菜公堂小段,2026
北竹子段上帝廟小段,2027
溪洲寮段頂溪洲寮小段,2028
溪洲寮段下溪洲寮小段,2029
下中段下中小段,2033
下中段牛稠子小段,2034
舊營段舊營小段,2035
舊營段後寮小段,2036
孫厝寮段孫厝寮小段,2037
孫厝寮段番子寮小段,2038
竹圍尾段,2053
下林段,2059
大埔段,2060
岸南段,2061
忠義段,2062
水秀段,2067
北門段,2068
朝琴段,2069
新岸段,2070
武廟段,2071
義稠段,2072
月港段,2074
月津段,2075
後厝段,2076
南門段,2077
仁愛段,2078
南港段,2130
歡雅段,2131
仁光段,2134
竹子腳段,2135
新頭港段,2136
汫水段,2138
孫厝段,2140
義中段,2143
三和段,2147
田都段,2154
田厝段,2155
忠孝段,2156
